%
%
% Run:A11   Table:loc               SWAN version:41.10
%
%       Hsig          RTpeak        Tm01          Tm02          FSpr     
%       [m]           [sec]         [sec]         [sec]         [ ]      
%
      1.00012       10.0918       10.0000        9.9504      0.822475 
      1.00461       10.0918       10.0171        9.9673      0.821985 
      1.03694       10.0918       10.0373        9.9872      0.821564 
      1.14867       10.0918       10.0593       10.0090      0.821232 
      1.19865       10.0918       10.0638       10.0135      0.821169 
      1.23091       10.0918       10.0661       10.0157      0.821138 
      1.27040       10.0918       10.0683       10.0179      0.821106 
      1.31864       10.0918       10.0705       10.0201      0.821076 
      1.38469       10.0918       10.0727       10.0223      0.821044 
      1.47862       10.0918       10.0750       10.0245      0.821012 
      1.62352       10.0918       10.0772       10.0267      0.820979 
      1.93143       10.0918       10.0795       10.0290      0.820946 
      2.31343       10.0918       10.0806       10.0301      0.820930 
